original_csv_line,subject_id,constant_fit_mean,ridge_1,ridge_100,knn_5,knn_25,hist_gradient_boosting
4993,37,4.2402386021505372,11.087323689618131,9.3211946901419793,1.7380000000000031,4.0034400000000048,8.2034165166872839
4994,37,5.1102386021505346,8.6183329590225632,8.2643142768190607,3.1999999999999957,8.1591439999999977,11.136149681187536
4995,37,5.9562386021505347,7.9856853039908096,7.4301760141385493,6.4971999999999994,6.6449599999999975,12.73128723155537
4996,37,6.8152386021505365,5.1830532648105709,5.9991615877557294,0.472800000000003,7.2089199999999991,6.0014052358884236
4997,37,7.7952386021505369,13.894978806437791,12.950422976529246,3.6490000000000045,6.2594400000000014,16.188549603732785
4998,37,8.5192386021505371,11.635277367239961,11.258137771376678,8.8751999999999995,12.966904,18.569000346284106
4999,37,9.3722386021505351,12.907510226267085,12.619927852246882,12.4802,11.652328000000001,17.730148017683973
5000,37,10.499238602150538,11.576105341057989,11.161856106946292,18.863240000000001,11.359808000000001,13.092150544672847
5001,37,10.876238602150533,16.506177645145474,15.371284777108276,14.258699999999997,12.69698,12.11835494166683
5002,37,11.311238602150535,14.269408561932483,14.351826613057273,15.540599999999998,15.682628000000001,16.984252769794534
5003,37,11.638238602150533,17.264884742738349,16.579983564774572,17.344799999999996,16.641527999999997,20.408044653079713
5004,37,12.015238602150536,18.07063021125078,17.261562077085131,14.779199999999999,16.469344,18.542725594759926
5005,37,12.393238602150536,14.290070476653163,14.489194511262731,9.7685999999999993,10.678920000000002,19.960478482871643
5006,37,12.779238602150539,16.217179928577035,15.525044792937265,21.195800000000006,15.212960000000006,19.28985781397229
5007,37,13.156238602150534,18.647218210173317,18.034425102274824,25.1922,18.614715999999998,24.474797207903173
5008,37,13.646238602150536,15.317828331185257,14.900796090475204,22.166999999999998,17.508347999999998,17.471604537276498
5009,37,13.917238602150537,15.788017097536482,15.511197489269254,15.645000000000003,14.384296000000003,19.368329444170133
5010,37,14.299238602150535,17.463147235207224,17.147242453467854,19.61936,15.765183999999998,22.835794426539273
5011,37,14.682238602150537,18.621125568989711,17.97784181186022,19.700600000000001,17.458656000000001,18.999885498791755
5012,37,0.82323860215053557,2.677064892750213,4.4995614114446632,1.0914000000000001,2.4473599999999998,7.2072846711398277
5013,37,1.6772386021505348,6.0883244633188838,5.2490067682115011,4.7908399999999993,7.1136400000000002,8.603747852795145
5014,37,2.5282386021505374,3.0900166628209327,1.455744676362194,10.173800000000002,3.9243600000000036,0.53120993345832801
5015,37,3.4092386021505341,8.0258196872052707,7.4262609196790095,7.4753999999999969,8.6837319999999956,11.207949580507513
5016,37,4.2402386021505372,7.6541186713700213,6.7629381243989926,3.9466000000000037,5.8945599999999985,6.3729868374168746
5017,37,5.1102386021505346,7.6825614764221584,7.2517760416285135,9.4968000000000004,5.2765839999999997,6.4492674478957994
5018,37,5.9562386021505347,10.766745319028463,10.017450704817083,15.376660000000001,14.149344000000001,17.743610633071626
5019,37,6.8152386021505365,9.0984641695973529,8.7527066901281074,2.7303999999999959,5.3754800000000031,10.474111452466946
5020,37,7.7952386021505369,15.602065872759768,13.760005733688054,4.7010000000000005,9.146640000000005,16.957202790298457
5021,37,8.5192386021505371,12.360399981568033,11.757681527172831,10.89648,10.302424000000002,12.610768579700132
5022,37,9.3722386021505351,10.74558835292153,10.300212250882275,6.2017999999999986,13.297667999999998,12.686211689265932
5023,37,10.499238602150538,13.5059563623843,13.529400682021077,16.2318,12.109559999999998,16.194610130484698
5024,37,10.876238602150533,16.492242764615483,15.559038432488958,14.102799999999998,14.026439999999997,12.453460040152489
5025,37,11.311238602150535,18.336267506438872,17.470848906633808,21.278419999999997,18.224108000000001,23.819140130291739
5026,37,11.638238602150533,14.688249822309583,14.47629731410035,13.444799999999997,14.629111999999999,18.136708463067613
5027,37,12.015238602150536,17.178559802587813,16.49118743409835,19.146800000000002,17.308191999999998,22.689700372323713
5028,37,12.393238602150536,14.893030332301475,14.464397555461243,13.6496,12.480640000000005,11.93389089896726
5029,37,12.779238602150539,16.654498329998212,16.231339806539072,16.614000000000004,16.598888000000002,20.55350921728045
5030,37,13.156238602150534,18.329286117150851,17.581766972764143,13.081999999999997,9.7900480000000023,18.509194868434982
5031,37,13.646238602150536,14.872850752955863,14.748913889165671,17.1066,12.914159999999995,14.128643355483529
5032,37,13.917238602150537,17.606931038918084,16.616672971384158,14.602800000000002,15.3963,19.270419347282683
5033,37,14.299238602150535,17.312414772658741,16.922085327669492,12.692,11.764015999999998,14.873477985799262
5034,37,14.682238602150537,12.813286316283989,13.127726823201218,14.952000000000002,13.80808,11.861472988132071
5035,37,0.019761397849464402,9.1337501716467564,6.9608737218730639,3.2187999999999981,3.4249200000000002,5.2631672862166248
5036,37,0.82323860215053557,1.5441393404979316,1.6993390755338282,3.8546000000000014,3.0817599999999992,1.009919278850159
5037,37,2.5292386021505351,3.1042710423660402,1.5773003154936553,6.5187999999999988,4.7515999999999998,2.2106959133790376
5038,37,3.4092386021505341,10.161195356096506,9.0957988311516047,14.181259999999998,11.983159999999998,10.405758579818205
5039,37,4.2402386021505372,10.482602396184415,9.3903162856128404,2.2990000000000066,1.2078959999999981,5.1282728259978327
5040,37,5.1102386021505346,8.5575573912221472,8.1586331688427478,7.938600000000001,7.8181999999999974,10.875989471628081
5041,37,5.9562386021505347,10.026192712465839,9.4191184762944786,8.8691999999999993,8.7592079999999974,14.137804429951265
5042,37,6.8152386021505365,11.196001928098607,10.582355964380881,9.9158000000000008,10.774632,15.418564098106973
5043,37,7.7952386021505369,12.628874114661961,11.153921089468803,7.1191999999999993,4.997320000000002,10.557702178495173
5044,37,8.5192386021505371,11.325132824947445,10.951261954524018,13.803800000000003,11.120200000000001,13.297965921452253
5045,37,9.3722386021505351,11.420098101197091,11.379107061846625,3.5111999999999988,5.5306000000000033,4.7204606697751856
5046,37,10.499238602150538,12.444050851093348,12.064146973026919,7.4936000000000007,8.1029919999999969,9.5192143894502621
5047,37,10.876238602150533,16.929056917140041,15.855010470205137,14.570799999999998,11.0291,11.477033220102367
5048,37,11.312238602150533,16.409840139863924,15.89181485888615,19.146799999999995,18.895807999999995,22.064148230513457
5049,37,11.638238602150533,15.867408443461564,15.432828976407251,16.431399999999996,16.440775999999996,22.590761517756533
5050,37,12.015238602150536,17.310042551598496,16.795630726583354,15.6662,14.189679999999999,18.694132401562946
5051,37,12.393238602150536,16.982413518257857,16.528953984809341,18.606400000000001,16.730279999999997,19.734367488690481
5052,37,12.779238602150539,18.056925468398497,17.358113920013121,14.832400000000003,14.820200000000003,19.560821819619459
5053,37,13.156238602150534,16.940383982565596,16.583297611544921,23.216239999999999,19.052823999999998,23.774134380635417
5054,37,13.646238602150536,16.954405644893551,16.646334734551331,14.886600000000001,14.968527999999999,22.888207283981195
5055,37,13.917238602150537,19.110809772674024,18.350921582693246,16.85904,17.964600000000001,19.391669831242769
5056,37,14.299238602150535,16.596142502060108,16.346793498529053,14.375159999999997,15.787303999999999,20.057580048265869
5057,37,14.682238602150537,18.026328564420194,17.031727500418963,15.124000000000002,17.494655999999999,19.341944710776868
5058,37,0.82323860215053557,5.224282556515135,5.8479291668748701,1.7159999999999975,4.1030000000000015,3.4004714119549213
5059,37,1.6772386021505348,3.7909058446611219,3.3769082539769144,0.26160000000000139,1.4744600000000041,4.5560556437173432
5060,37,2.5292386021505351,10.384999551894019,8.4974650049378049,0.46820000000000306,1.0797760000000025,13.231717496014967
5061,37,3.4092386021505341,6.9427768735645614,6.5816793018589621,11.686960000000001,5.6449359999999977,9.8901504468314023
5062,37,4.2402386021505372,17.556407423379397,12.001181786852809,3.5852000000000004,1.6237600000000008,13.924272458324156
5063,37,5.1102386021505346,10.571699835302745,9.8873117398253072,8.5551999999999992,11.926732000000001,13.520429175313453
5064,37,5.9562386021505347,11.071779002564409,10.511220324110543,4.9518000000000022,7.2291600000000003,14.607363237862369
5065,37,6.8152386021505365,9.4678590944984897,9.3340493709841681,10.208000000000002,10.712904000000002,14.288724853490056
5066,37,7.7952386021505369,9.6214690757953356,6.1634072307945118,5.6326000000000001,3.6180799999999991,5.2246160104290809
5067,37,8.5192386021505371,12.827013575479885,12.357911145245716,15.408800000000003,12.281744000000003,15.57257087171347
5068,37,9.3722386021505351,14.280246893818067,13.511359375675376,13.498799999999999,11.350584000000001,16.856341712649169
5069,37,10.499238602150538,15.18420934872157,14.510993061691732,20.566360000000003,18.4329,20.803200597071744
5070,37,10.876238602150533,17.418345985394954,16.406815033738944,16.619999999999997,15.053335999999998,20.416203518975966
5071,37,11.312238602150533,15.816321689337215,15.353553170040009,14.019399999999997,12.252647999999994,17.201947656890773
5072,37,11.638238602150533,15.013627422572903,14.667827864109704,11.861399999999996,10.2682,16.889048102168591
5073,37,12.015238602150536,18.749703320524517,17.755937763337045,17.497400000000003,17.166972000000001,19.106337274428519
5074,37,12.393238602150536,17.292947994945877,16.718776297296948,13.558400000000002,14.89676,18.847366820588579
5075,37,12.780238602150536,19.944866698897883,18.842321803371135,16.2942,14.861039999999999,17.554530115336298
5076,37,13.156238602150534,18.400940147425377,18.056800164284486,19.244599999999998,17.131615999999998,22.921696322184289
5077,37,13.646238602150536,18.417550936139044,17.667535242834703,15.331399999999999,15.023967999999996,20.89081526404766
5078,37,13.917238602150537,14.119500997590691,13.872186734251539,15.052399999999999,14.753067999999999,16.872782966034535
5079,37,14.300238602150532,17.611560608263062,17.215915390621646,17.873399999999997,14.011483999999999,20.370008237314519
5080,37,14.682238602150537,16.595316317711784,16.370969597567495,21.0916,17.256640000000004,19.713770730197986
5081,37,0.82323860215053557,5.172800269700744,4.7860332670087402,2.4451999999999998,0.5918399999999977,5.0735378491391359
5082,37,1.6772386021505348,5.2030419650024839,4.4639129199995864,1.2567999999999984,0.33488000000000184,8.7292085839832456
5083,37,2.5292386021505351,0.19845295265823637,0.89251413285617431,1.7501999999999995,4.9298399999999987,0.17756255235748952
5084,37,3.4092386021505341,7.6444993000603247,7.1730976873723549,3.627799999999997,5.6256119999999967,5.8389738939856954
5085,37,4.2402386021505372,7.6119941496151107,7.2713316701511204,8.7635599999999982,7.6447280000000006,13.486128097579208
5086,37,5.1102386021505346,7.4011472666940605,7.3125343242861547,10.679600000000001,9.3127880000000012,15.205421713497476
5087,37,5.9562386021505347,8.2495853758807449,7.9412075367458108,14.210599999999999,11.186527999999999,13.62185325614429
5088,37,6.8152386021505365,9.1954930303490308,8.8438753498812765,11.224799999999998,12.167335999999999,15.991488957646567
5089,37,7.7952386021505369,9.7344154126774747,8.9501622029882171,5.5430000000000028,7.5209200000000003,9.7047328011636012
5090,37,8.5192386021505371,11.477862563862832,11.134559607117396,13.596800000000002,12.263172000000001,18.771401295682182
5091,37,9.3732386021505327,11.263157783600263,11.048292377537305,9.8893999999999949,12.722779999999997,21.27361003847605
5092,37,10.499238602150538,12.557514515595372,12.570569204296397,10.238860000000003,11.420651999999997,18.390295804795215
5093,37,10.876238602150533,13.526269938118748,13.300079963034975,19.130599999999998,15.262931999999996,19.926697687550174
5094,37,11.312238602150533,13.42628973879,13.40084021129622,19.479399999999995,13.975247999999993,17.862103317299667
