# d n0 p xi pair A_Q B_Q detM=2B_Q
15 1 271 41 (16, 17) 32 39 78
15 1 271 178 (16, 17) 53 169 67
15 1 271 244 (16, 17) 101 213 155
15 1 271 167 (16, 17) 5 32 64
15 1 271 31 (16, 17) 169 244 217
15 1 271 9 (16, 17) 270 189 107
15 1 271 125 (16, 17) 62 59 118
15 1 271 80 (16, 17) 261 224 177
15 1 271 268 (16, 17) 176 62 124
15 1 271 139 (16, 17) 3 163 55
15 1 271 154 (16, 17) 25 251 231
3 2 37 1 (4, 8) 4 15 30
3 2 37 16 (4, 8) 1 14 28
3 2 37 34 (4, 8) 26 34 31
3 2 37 26 (4, 8) 6 10 20
3 2 37 9 (4, 8) 36 16 32
3 2 37 33 (4, 8) 33 21 5
3 2 37 10 (4, 8) 25 12 24
3 2 37 12 (4, 8) 6 2 4
3 2 37 7 (4, 8) 17 13 26
5 2 61 1 (6, 7) 22 14 28
5 2 61 16 (6, 7) 8 23 46
5 2 61 12 (6, 7) 55 52 43
5 2 61 9 (6, 7) 52 4 8
5 2 61 22 (6, 7) 36 1 2
5 2 61 47 (6, 7) 10 60 59
5 2 61 20 (6, 7) 28 36 11
5 2 61 15 (6, 7) 60 56 51
5 2 61 57 (6, 7) 47 1 2
5 2 61 58 (6, 7) 6 50 39
5 2 61 13 (6, 7) 5 10 20
5 2 61 25 (6, 7) 32 5 10
5 2 61 34 (6, 14) 12 8 16
5 2 61 56 (6, 7) 27 37 13
5 2 61 42 (6, 7) 10 34 7
7 2 127 1 (8, 9) 38 27 54
7 2 127 94 (8, 9) 78 14 28
7 2 127 73 (8, 9) 28 94 61
7 2 127 4 (8, 9) 109 99 71
7 2 127 122 (8, 9) 122 58 116
7 2 127 38 (8, 9) 106 123 119
7 2 127 16 (8, 9) 70 107 87
7 2 127 107 (8, 9) 11 113 99
7 2 127 25 (8, 9) 104 34 68
7 2 127 64 (8, 9) 69 65 3
7 2 127 47 (8, 9) 0 57 114
7 2 127 100 (8, 9) 117 14 28
7 2 127 2 (8, 9) 4 12 24
7 2 127 61 (8, 9) 40 122 117
7 2 127 19 (8, 9) 94 119 111
7 2 127 8 (8, 9) 78 118 109
7 2 127 117 (8, 9) 115 17 34
7 2 127 76 (8, 9) 108 122 117
7 2 127 32 (8, 9) 91 60 120
