# d n0 p xi order Theta
#   d   n 0
15 1 271 81 15 193
15 1 271 41 45 118
15 1 271 178 9 197
15 1 271 244 5 170
15 1 271 167 45 73
15 1 271 31 45 59
15 1 271 9 15 20
15 1 271 125 9 84
15 1 271 80 45 159
15 1 271 268 15 175
15 1 271 139 45 156
15 1 271 154 45 162
3 2 19 1 1 12
3 2 19 4 9 6
3 2 19 16 9 6
3 2 19 7 3 14
3 2 19 9 9 13
3 2 19 17 9 9
3 2 19 11 3 0
3 2 19 6 9 9
3 2 19 5 9 10
3 2 37 1 1 15
3 2 37 16 9 14
3 2 37 34 9 34
3 2 37 26 3 10
3 2 37 9 9 16
3 2 37 33 9 21
3 2 37 10 3 12
3 2 37 12 9 2
3 2 37 7 9 13
5 2 31 1 1 21
5 2 31 9 15 16
5 2 31 19 15 19
5 2 31 16 5 14
5 2 31 20 15 16
5 2 31 25 3 26
5 2 31 8 5 2
5 2 31 10 15 11
5 2 31 28 15 16
5 2 31 4 5 8
5 2 31 5 3 25
5 2 31 14 15 16
5 2 31 2 5 26
5 2 31 18 15 2
5 2 31 7 15 19
5 2 61 1 1 36
5 2 61 16 15 41
5 2 61 12 15 4
5 2 61 9 5 42
5 2 61 22 15 20
5 2 61 47 3 8
5 2 61 20 5 26
5 2 61 15 15 21
5 2 61 57 15 40
5 2 61 58 5 57
5 2 61 13 3 28
5 2 61 25 15 60
5 2 61 34 5 8
5 2 61 56 15 23
5 2 61 42 15 50
7 2 43 1 1 7
7 2 43 9 21 28
7 2 43 38 21 18
7 2 43 41 7 34
7 2 43 25 21 19
7 2 43 10 21 41
7 2 43 4 7 2
7 2 43 36 3 18
7 2 43 23 21 38
7 2 43 35 7 23
7 2 43 14 21 42
7 2 43 40 21 8
7 2 43 16 7 28
7 2 43 15 21 33
7 2 43 6 3 6
7 2 43 11 7 34
7 2 43 13 21 35
7 2 43 31 21 1
7 2 43 21 7 17
7 2 43 17 21 37
7 2 43 24 21 34
7 2 127 1 1 22
7 2 127 94 21 91
7 2 127 73 21 99
7 2 127 4 7 121
7 2 127 122 21 31
7 2 127 38 21 74
7 2 127 16 7 10
7 2 127 107 3 73
7 2 127 25 21 17
7 2 127 64 7 64
7 2 127 47 21 57
7 2 127 100 21 94
7 2 127 2 7 89
7 2 127 61 21 3
7 2 127 19 3 68
7 2 127 8 7 38
7 2 127 117 21 55
7 2 127 76 21 21
7 2 127 32 7 42
7 2 127 87 21 86
7 2 127 50 21 19
9 2 109 1 1 22
9 2 109 97 27 74
9 2 109 35 27 76
9 2 109 16 9 108
9 2 109 26 27 24
9 2 109 15 27 41
9 2 109 38 9 63
9 2 109 89 27 84
9 2 109 22 27 9
9 2 109 63 3 60
9 2 109 7 27 82
9 2 109 25 27 73
9 2 109 27 9 1
9 2 109 3 27 73
9 2 109 73 27 48
9 2 109 105 9 55
9 2 109 48 27 46
9 2 109 78 27 10
9 2 109 45 3 45
9 2 109 5 27 56
9 2 109 49 27 15
9 2 109 66 9 90
9 2 109 80 27 85
9 2 109 21 27 23
9 2 109 75 9 80
9 2 109 81 27 91
9 2 109 9 27 103
9 2 163 1 1 60
9 2 163 64 27 107
9 2 163 21 27 103
9 2 163 40 9 128
9 2 163 115 27 53
9 2 163 25 27 156
9 2 163 133 9 30
9 2 163 36 27 70
9 2 163 22 27 139
9 2 163 104 3 85
9 2 163 136 27 40
9 2 163 65 27 144
9 2 163 85 9 7
9 2 163 61 27 71
9 2 163 155 27 50
9 2 163 140 9 117
9 2 163 158 27 40
9 2 163 6 27 115
9 2 163 58 3 109
9 2 163 126 27 149
9 2 163 77 27 126
