# d n0 p xi Delta pivot-ok
15 2 181 148 149 1
15 2 181 15 20 1
15 2 181 59 56 1
15 2 181 39 77 1
15 2 181 81 54 1
15 2 181 29 135 1
15 2 181 102 99 1
15 2 181 3 64 1
15 2 181 48 74 1
15 2 181 44 27 1
15 2 181 161 160 1
15 2 181 42 60 1
15 2 181 129 132 1
15 2 181 73 73 1
15 2 181 82 156 1
15 2 181 45 14 1
15 2 181 177 38 1
15 2 181 117 76 1
15 2 181 62 65 1
15 2 181 87 115 1
15 2 181 125 33 1
15 2 181 9 - 0
15 2 181 144 166 1
15 2 181 132 100 1
15 2 181 121 140 1
15 2 181 126 5 1
15 2 181 25 59 1
15 2 181 38 140 1
15 2 181 65 155 1
15 2 181 135 161 1
15 2 181 169 116 1
15 2 181 170 119 1
15 2 181 5 136 1
15 2 181 80 31 1
15 2 181 13 166 1
15 2 181 27 161 1
15 2 181 70 11 1
15 2 181 34 2 1
15 2 271 1 61 1
15 2 271 44 154 1
15 2 271 39 1 1
15 2 271 90 24 1
15 2 271 166 140 1
15 2 271 258 63 1
15 2 271 241 268 1
15 2 271 35 269 1
15 2 271 185 16 1
15 2 271 10 202 1
15 2 271 169 109 1
15 2 271 119 113 1
15 2 271 87 262 1
15 2 271 34 103 1
15 2 271 141 22 1
15 2 271 242 172 1
15 2 271 79 264 1
15 2 271 224 186 1
15 2 271 100 165 1
15 2 271 64 139 1
15 2 271 106 263 1
15 2 271 57 206 1
15 2 271 69 236 1
15 2 271 55 229 1
15 2 271 252 41 1
15 2 271 248 265 1
15 2 271 72 63 1
15 2 271 187 88 1
15 2 271 98 236 1
15 2 271 247 57 1
15 2 271 28 126 1
15 2 271 148 62 1
15 2 271 8 - 0
15 2 271 81 268 1
15 2 271 41 80 1
15 2 271 178 66 1
15 2 271 244 193 1
15 2 271 167 199 1
15 2 271 31 186 1
15 2 271 9 76 1
15 2 271 125 190 1
15 2 271 80 105 1
15 2 271 268 240 1
15 2 271 139 103 1
15 2 271 154 148 1
